Episode,Reward,Epsilon,Steps
0,353.5,0.998,1000
1,353.5,0.996,1000
2,296.5,0.994,1000
3,330.5,0.992,1000
4,409.5,0.990,1000
5,356.5,0.988,1000
6,527.5,0.986,1000
7,358.5,0.984,1000
8,540.5,0.982,1000
9,442.5,0.980,1000
10,564.5,0.978,1000
11,568.5,0.976,1000
12,402.5,0.974,1000
13,410.5,0.972,1000
14,439.5,0.970,1000
15,590.5,0.968,1000
16,415.5,0.967,1000
17,467.5,0.965,917
18,471.5,0.963,646
19,473.5,0.961,1000
20,579.5,0.959,933
21,506.5,0.957,1000
22,421.5,0.955,845
23,497.5,0.953,1000
24,443.5,0.951,1000
25,513.5,0.949,1000
26,478.5,0.947,598
27,461.5,0.945,1000
28,394.5,0.944,1000
29,635.5,0.942,1000
30,689.5,0.940,1000
31,513.5,0.938,768
32,529.5,0.936,1000
33,539.5,0.934,722
34,602.5,0.932,994
35,629.5,0.930,958
36,602.5,0.929,910
37,360.5,0.927,355
38,666.5,0.925,1000
39,536.5,0.923,819
40,612.5,0.921,1000
41,591.5,0.919,1000
42,455.5,0.918,1000
43,546.5,0.916,636
44,493.5,0.914,495
45,515.5,0.912,676
46,595.5,0.910,792
47,502.5,0.908,646
48,583.5,0.907,1000
49,409.5,0.905,396
50,668.5,0.903,1000
51,599.5,0.901,1000
52,478.5,0.899,506
53,431.0,0.898,430
54,542.5,0.896,889
55,574.5,0.894,702
56,500.5,0.892,535
57,580.5,0.890,872
58,443.0,0.889,439
59,603.5,0.887,769
60,499.5,0.885,639
61,433.0,0.883,466
62,392.5,0.882,363
63,569.5,0.880,716
64,508.5,0.878,576
65,644.5,0.876,1000
66,348.0,0.874,292
67,796.5,0.873,1000
68,516.5,0.871,529
69,444.0,0.869,432
70,423.5,0.867,389
71,641.5,0.866,1000
72,768.5,0.864,1000
73,484.5,0.862,541
74,481.5,0.861,565
75,395.5,0.859,353
76,518.5,0.857,682
77,463.5,0.855,527
78,570.5,0.854,527
79,456.0,0.852,427
80,684.5,0.850,1000
81,512.5,0.849,719
82,421.0,0.847,406
83,517.5,0.845,675
84,473.5,0.844,575
85,439.5,0.842,480
86,398.0,0.840,390
87,293.0,0.838,257
88,450.0,0.837,428
89,527.5,0.835,564
90,530.5,0.833,638
91,468.5,0.832,675
92,402.5,0.830,365
93,523.0,0.828,510
94,390.5,0.827,386
95,499.5,0.825,504
96,458.5,0.823,498
97,475.5,0.822,503
98,386.5,0.820,327
99,630.5,0.819,753
100,418.5,0.817,393
101,551.5,0.815,641
102,564.5,0.814,623
103,498.5,0.812,531
104,475.5,0.810,574
105,561.5,0.809,577
106,429.0,0.807,398
107,388.5,0.806,324
108,420.0,0.804,394
109,401.5,0.802,351
110,470.0,0.801,468
111,440.5,0.799,394
112,358.0,0.798,290
113,460.0,0.796,436
114,407.0,0.794,396
115,365.5,0.793,287
116,517.5,0.791,557
117,343.5,0.790,319
118,467.5,0.788,502
119,337.0,0.786,294
120,384.5,0.785,317
121,371.0,0.783,290
122,576.5,0.782,563
123,460.0,0.780,468
124,250.0,0.779,215
125,418.0,0.777,394
126,457.5,0.775,571
127,537.5,0.774,534
128,400.5,0.772,389
129,396.5,0.771,331
130,594.5,0.769,579
131,485.0,0.768,434
132,470.0,0.766,431
133,468.0,0.765,426
134,428.5,0.763,396
135,432.5,0.762,395
136,431.5,0.760,405
137,503.5,0.759,434
138,504.5,0.757,515
139,328.0,0.756,267
140,312.5,0.754,290
141,424.5,0.753,363
142,460.0,0.751,438
143,362.5,0.750,293
144,458.0,0.748,432
145,463.0,0.747,450
146,447.0,0.745,443
147,544.5,0.744,537
148,284.0,0.742,219
149,357.5,0.741,296
150,390.5,0.739,358
151,267.5,0.738,197
152,417.5,0.736,351
153,395.5,0.735,327
154,461.0,0.733,459
155,455.0,0.732,408
156,348.5,0.730,292
157,317.0,0.729,249
158,315.0,0.727,254
159,323.0,0.726,265
160,349.0,0.724,258
161,501.0,0.723,470
162,317.5,0.722,290
163,305.0,0.720,249
164,350.5,0.719,296
165,466.0,0.717,487
166,381.5,0.716,317
167,283.0,0.714,255
168,417.5,0.713,392
169,336.0,0.712,285
170,331.0,0.710,286
171,363.0,0.709,285
172,392.5,0.707,336
173,535.0,0.706,496
174,370.5,0.704,327
175,366.5,0.703,293
176,290.0,0.702,219
177,411.5,0.700,362
178,384.5,0.699,318
179,407.5,0.697,344
180,364.0,0.696,324
181,385.0,0.695,283
182,258.0,0.693,217
183,421.0,0.692,389
184,496.0,0.690,436
185,408.5,0.689,358
186,433.0,0.688,405
187,245.5,0.686,182
188,447.0,0.685,393
189,396.5,0.684,320
190,372.5,0.682,323
191,335.0,0.681,294
192,493.0,0.680,432
193,393.5,0.678,318
194,452.5,0.677,388
195,370.0,0.675,291
196,387.5,0.674,322
197,311.0,0.673,253
198,339.0,0.671,255
199,365.5,0.670,323
200,496.0,0.669,429
201,334.0,0.667,285
202,342.0,0.666,286
203,301.0,0.665,254
204,441.5,0.663,385
205,455.5,0.662,365
206,233.5,0.661,179
207,512.0,0.659,428
208,362.5,0.658,322
209,337.0,0.657,309
210,321.0,0.655,253
211,428.5,0.654,354
212,342.0,0.653,286
213,299.0,0.652,224
214,357.5,0.650,298
215,407.5,0.649,328
216,393.5,0.648,328
217,355.0,0.646,284
218,247.5,0.645,185
219,301.0,0.644,216
220,370.0,0.642,290
221,248.5,0.641,182
222,326.0,0.640,259
223,306.0,0.639,251
224,333.0,0.637,286
